RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30
394807,43,"Louisville-Jefferson County, KY",Msa,KY,5167.0,5073.0,4805.0,4664.0,4475.0,4437.0,4610.0,4890.0,5250.0,5559.0,5827.0,5973.0,6039.0,5960.0,5713.0,5501.0,5181.0,5078.0,5190.0,5346.0,5628.0,5817.0,5950.0,6054.0,6102.0,5963.0,5639.0,5331.0,4951.0,4742.0,4672.0,4621.0,4579.0
394669,44,"Hartford, CT",Msa,CT,7187.0,6903.0,6527.0,6231.0,5627.0,5336.0,5547.0,5908.0,6567.0,6976.0,7057.0,7088.0,6958.0,6730.0,6305.0,5828.0,5353.0,5198.0,5417.0,5852.0,6306.0,6612.0,6764.0,6737.0,6650.0,6393.0,5938.0,5467.0,5032.0,4830.0,4679.0,4688.0,4744.0
395022,45,"Richmond, VA",Msa,VA,6148.0,5822.0,5467.0,5255.0,4964.0,4993.0,5317.0,5724.0,6077.0,6238.0,6284.0,6226.0,6135.0,5946.0,5557.0,5229.0,4895.0,4821.0,5019.0,5335.0,5675.0,5879.0,5990.0,5975.0,5979.0,5821.0,5511.0,5245.0,4938.0,4902.0,5000.0,5067.0,5070.0
394910,46,"New Orleans, LA",Msa,LA,4141.0,4058.0,3948.0,3923.0,3866.0,3968.0,4146.0,4316.0,4490.0,4537.0,4513.0,4416.0,4318.0,4163.0,3998.0,3941.0,3858.0,3905.0,4065.0,4193.0,4436.0,4574.0,4675.0,4691.0,4554.0,4361.0,4084.0,3895.0,3705.0,3687.0,3677.0,3713.0,3719.0
394425,47,"Buffalo, NY",Msa,NY,3666.0,3462.0,3193.0,3033.0,2722.0,2579.0,2652.0,2857.0,3123.0,3411.0,3641.0,3723.0,3765.0,3593.0,3286.0,3015.0,2713.0,2614.0,2701.0,2878.0,3175.0,3417.0,3603.0,3697.0,3691.0,3545.0,3258.0,2975.0,2682.0,2506.0,2359.0,2330.0,2454.0
395012,48,"Raleigh, NC",Msa,NC,6074.0,5752.0,5387.0,5256.0,5023.0,5091.0,5441.0,5835.0,6175.0,6281.0,6314.0,6140.0,6026.0,5900.0,5603.0,5524.0,5367.0,5434.0,5725.0,6030.0,6488.0,6741.0,6946.0,6997.0,6911.0,6780.0,6472.0,6289.0,6055.0,6066.0,6144.0,6195.0,6127.0
394388,49,"Birmingham, AL",Msa,AL,6770.0,6443.0,6124.0,6029.0,5814.0,5827.0,6106.0,6337.0,6559.0,6707.0,6733.0,6676.0,6570.0,6355.0,5983.0,5721.0,5459.0,5420.0,5606.0,5764.0,6033.0,6211.0,6309.0,6344.0,6226.0,5970.0,5606.0,5348.0,5124.0,5094.0,5123.0,5146.0,5181.0
395053,50,"Salt Lake City, UT",Msa,UT,3358.0,3101.0,2858.0,2787.0,2634.0,2695.0,3030.0,3457.0,3869.0,4257.0,4586.0,4749.0,4945.0,4984.0,4701.0,4478.0,4149.0,4050.0,4287.0,4580.0,4955.0,5169.0,5290.0,5248.0,5122.0,4840.0,4323.0,3876.0,3441.0,3355.0,3547.0,3832.0,4089.0
395031,51,"Rochester, NY",Msa,NY,3966.0,3717.0,3454.0,3292.0,2990.0,2918.0,3102.0,3375.0,3720.0,3985.0,4125.0,4174.0,4131.0,3945.0,3612.0,3285.0,2970.0,2841.0,2948.0,3167.0,3466.0,3708.0,3828.0,3868.0,3819.0,3631.0,3355.0,3040.0,2751.0,2616.0,2504.0,2549.0,2693.0
394640,52,"Grand Rapids, MI",Msa,MI,4332.0,4107.0,3768.0,3549.0,3161.0,2985.0,3090.0,3361.0,3735.0,4083.0,4399.0,4540.0,4584.0,4448.0,4106.0,3803.0,3477.0,3317.0,3410.0,3647.0,4025.0,4370.0,4624.0,4754.0,4773.0,4601.0,4270.0,3896.0,3496.0,3319.0,3139.0,3285.0,3473.0
